species_code,scientific_name,common_name,global_pop,us_ca_pop,north_american,prop_americas,americas,americas_pop
acafly,Empidonax virescens,Acadian Flycatcher,5200000,5200000,TRUE,1,TRUE,5200000
aldfly,Empidonax alnorum,Alder Flycatcher,120000000,120000000,TRUE,1,TRUE,120000000
allhum,Selasphorus sasin,Allen's Hummingbird,1500000,1500000,TRUE,1,TRUE,1500000
ambduc,Anas rubripes,American Black Duck,700000,700000,TRUE,1,TRUE,700000
ameavo,Recurvirostra americana,American Avocet,460000,450000,FALSE,1,TRUE,460000
amebit,Botaurus lentiginosus,American Bittern,2500000,2500000,TRUE,1,TRUE,2500000
amegfi,Spinus tristis,American Goldfinch,44000000,44000000,TRUE,1,TRUE,44000000
amekes,Falco sparverius,American Kestrel,9200000,2800000,FALSE,1,TRUE,9200000
ameoys,Haematopus palliatus,American Oystercatcher,43000,12000,FALSE,1,TRUE,43000
amepip,Anthus rubescens,American Pipit,20000000,18000000,FALSE,0.9080367287475855,FALSE,18000000
amered,Setophaga ruticilla,American Redstart,42000000,42000000,TRUE,1,TRUE,42000000
amerob,Turdus migratorius,American Robin,370000000,370000000,TRUE,1,TRUE,370000000
amewig,Mareca americana,American Wigeon,2700000,2700000,TRUE,0.99992559924076585,FALSE,2700000
amewoo,Scolopax minor,American Woodcock,3500000,3500000,TRUE,1,TRUE,3500000
amgplo,Pluvialis dominica,American Golden-Plover,500000,500000,TRUE,0.9999999999999999,FALSE,500000
amtspa,Spizelloides arborea,American Tree Sparrow,26000000,26000000,TRUE,1,TRUE,26000000
amwpel,Pelecanus erythrorhynchos,American White Pelican,450000,410000,FALSE,1,TRUE,450000
anhing,Anhinga anhinga,Anhinga,2000000,27000,FALSE,1,TRUE,2000000
astfly,Myiarchus cinerascens,Ash-throated Flycatcher,10000000,6800000,FALSE,1,TRUE,10000000
babwar,Setophaga castanea,Bay-breasted Warbler,9900000,9900000,TRUE,1,TRUE,9900000
baisan,Calidris bairdii,Baird's Sandpiper,300000,280000,FALSE,1,TRUE,300000
baleag,Haliaeetus leucocephalus,Bald Eagle,200000,200000,TRUE,1,TRUE,200000
balori,Icterus galbula,Baltimore Oriole,12000000,12000000,TRUE,1,TRUE,12000000
banswa,Riparia riparia,Bank Swallow,29000000,7900000,FALSE,0.09126497455298249,FALSE,7900000
bargol,Bucephala islandica,Barrow's Goldeneye,180000,180000,TRUE,0.975510666662837,FALSE,180000
barswa,Hirundo rustica,Barn Swallow,190000000,47000000,FALSE,0.083393611057233,FALSE,47000000
batpig1,Patagioenas fasciata,Band-tailed Pigeon,6100000,1500000,FALSE,1,TRUE,6100000
bawwar,Mniotilta varia,Black-and-white Warbler,18000000,18000000,TRUE,1,TRUE,18000000
bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck,1000000,NA,FALSE,1,TRUE,1000000
bcnher,Nycticorax nycticorax,Black-crowned Night Heron,3000000,420000,FALSE,0.2531620915232038,FALSE,760000
bcrfin,Leucosticte australis,Brown-capped Rosy-Finch,130000,85000,FALSE,1,TRUE,130000
belkin1,Megaceryle alcyon,Belted Kingfisher,1800000,1800000,TRUE,1,TRUE,1800000
belspa2,Artemisiospiza belli,Bell's Sparrow,270000,210000,FALSE,1,TRUE,270000
belvir,Vireo bellii,Bell's Vireo,5700000,4600000,FALSE,1,TRUE,5700000
benthr,Toxostoma bendirei,Bendire's Thrasher,83000,56000,FALSE,1,TRUE,83000
bkbplo,Pluvialis squatarola,Black-bellied Plover,840000,360000,FALSE,0.4082423582166811,FALSE,360000
bkbwar,Setophaga fusca,Blackburnian Warbler,13000000,13000000,TRUE,1,TRUE,13000000
bkchum,Archilochus alexandri,Black-chinned Hummingbird,8800000,8200000,FALSE,1,TRUE,8800000
bkcspa,Spizella atrogularis,Black-chinned Sparrow,1100000,290000,FALSE,1,TRUE,1100000
bkcvir1,Vireo atricapilla,Black-capped Vireo,220000,150000,FALSE,1,TRUE,220000
bkhgro,Pheucticus melanocephalus,Black-headed Grosbeak,15000000,12000000,FALSE,1,TRUE,15000000
bknsti,Himantopus mexicanus,Black-necked Stilt,900000,180000,FALSE,0.9993224945038987,FALSE,900000
bkpwar,Setophaga striata,Blackpoll Warbler,60000000,60000000,TRUE,1,TRUE,60000000
bkrfin,Leucosticte atrata,Black Rosy-Finch,120000,120000,TRUE,1,TRUE,120000
bkwvir,Vireo altiloquus,Black-whiskered Vireo,6200000,84000,FALSE,1,TRUE,6200000
blkpho,Sayornis nigricans,Black Phoebe,5000000,1200000,FALSE,1,TRUE,5000000
blksco2,Melanitta americana,Black Scoter,900000,500000,FALSE,0.9340776147717538,FALSE,840000
blkski,Rynchops niger,Black Skimmer,800000,60000,FALSE,1,TRUE,800000
blkter,Chlidonias niger,Black Tern,5100000,2300000,FALSE,0.8960468450088184,FALSE,4600000
blktur,Arenaria melanocephala,Black Turnstone,95000,95000,TRUE,1,TRUE,95000
blugrb1,Passerina caerulea,Blue Grosbeak,35000000,21000000,FALSE,1,TRUE,35000000
blujay,Cyanocitta cristata,Blue Jay,17000000,17000000,TRUE,1,TRUE,17000000
bncfly,Myiarchus tyrannulus,Brown-crested Flycatcher,14000000,1000000,FALSE,1,TRUE,14000000
bnhcow,Molothrus ater,Brown-headed Cowbird,130000000,130000000,TRUE,1,TRUE,130000000
bohwax,Bombycilla garrulus,Bohemian Waxwing,5000000,2500000,FALSE,0.4162179837842874,FALSE,2500000
bongul,Chroicocephalus philadelphia,Bonaparte's Gull,790000,790000,TRUE,1,TRUE,790000
brant,Branta bernicla,Brant,490000,340000,FALSE,0.6025663115458325,FALSE,340000
brebla,Euphagus cyanocephalus,Brewer's Blackbird,23000000,23000000,TRUE,1,TRUE,23000000
brespa,Spizella breweri,Brewer's Sparrow,17000000,17000000,TRUE,1,TRUE,17000000
brncre,Certhia americana,Brown Creeper,11000000,9500000,FALSE,1,TRUE,11000000
brnpel,Pelecanus occidentalis,Brown Pelican,370000,100000,FALSE,1,TRUE,370000
brnthr,Toxostoma rufum,Brown Thrasher,6200000,6200000,TRUE,1,TRUE,6200000
brocow,Molothrus aeneus,Bronzed Cowbird,6600000,820000,FALSE,1,TRUE,6600000
brthum,Selasphorus platycercus,Broad-tailed Hummingbird,9800000,8800000,FALSE,1,TRUE,9800000
brwhaw,Buteo platypterus,Broad-winged Hawk,1900000,1800000,FALSE,1,TRUE,1900000
btbwar,Setophaga caerulescens,Black-throated Blue Warbler,2400000,2400000,TRUE,1,TRUE,2400000
btnwar,Setophaga virens,Black-throated Green Warbler,9200000,9200000,TRUE,1,TRUE,9200000
btywar,Setophaga nigrescens,Black-throated Gray Warbler,3200000,3100000,FALSE,1,TRUE,3200000
bubsan,Calidris subruficollis,Buff-breasted Sandpiper,56000,56000,TRUE,1,TRUE,56000
buffle,Bucephala albeola,Bufflehead,1300000,1300000,TRUE,0.9999996975896452,FALSE,1300000
buggna,Polioptila caerulea,Blue-gray Gnatcatcher,260000000,230000000,FALSE,1,TRUE,260000000
